x=[ 0.5  0.5] y=[ 0.5  0.5] a=0.0058823529411764705 target value=1.25
x=[ 0.51058363  0.32985648] y=[ 0.5083123   0.32757577] a=0.2851721658833683 target value=0.0023750745636377246
x=[ 0.5146747   0.33393817] y=[ 0.51694932  0.33620758] a=0.2853145896906405 target value=0.009269396286224918
x=[ 0.51058692  0.32984518] y=[ 0.50831458  0.32756994] a=0.2854163706501829 target value=0.0023719640388826235
x=[ 0.51467698  0.33393234] y=[ 0.51695027  0.33620401] a=0.2854890979530311 target value=0.009265695878031721
x=[ 0.51058787  0.32984161] y=[ 0.50831534  0.32756819] a=0.2855410605129708 target value=0.0023709290939990524
x=[ 0.51467774  0.33393059] y=[ 0.51695052  0.33620287] a=0.2855781846634411 target value=0.009264672690306952
x=[ 0.51058812  0.32984047] y=[ 0.5083156   0.32756767] a=0.28560470647394376 target value=0.0023705712431372206
x=[ 0.514678    0.33393007] y=[ 0.51695058  0.3362025 ] a=0.28562365327922923 target value=0.009264417823864335
x=[ 0.51058818  0.3298401 ] y=[ 0.50831569  0.32756753] a=0.28563718830052587 target value=0.002370441195694184
x=[ 0.51467809  0.33392993] y=[ 0.51695059  0.33620238] a=0.2856468571509535 target value=0.009264370308667225
x=[ 0.51058819  0.32983998] y=[ 0.50831573  0.32756749] a=0.28565376409125015 target value=0.0023703910625556546
x=[ 0.51467813  0.33392989] y=[ 0.51695059  0.33620233] a=0.28565869802101246 target value=0.009264371548429295
x=[ 0.51058819  0.32983993] y=[ 0.50831574  0.32756748] a=0.28566222252212753 target value=0.002370370491043161
x=[ 0.51467814  0.33392988] y=[ 0.51695058  0.33620232] a=0.28566474020198385 target value=0.009264380049323506
x=[ 0.51058818  0.32983992] y=[ 0.50831575  0.32756748] a=0.28566653866721403 target value=0.0023703615407981715
x=[ 0.51467815  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856678233699518 target value=0.009264386816113301
x=[ 0.51058818  0.32983991] y=[ 0.50831575  0.32756748] a=0.28566874107386525 target value=0.0023703574512836667
x=[ 0.51467815  0.33392988] y=[ 0.51695058  0.33620231] a=0.28566939661815627 target value=0.00926439101883858
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856698648933517 target value=0.0023703555119709563
x=[ 0.51467815  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567019939635707 target value=0.009264393394836645
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856704383417822 target value=0.0023703545679047977
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856706090275426 target value=0.00926439467868434
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567073095338746 target value=0.002370354100236227
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856708180485818 target value=0.009264395355845778
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.285670880263218 target value=0.00237035386593476
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567092470494293 target value=0.009264395708193263
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856709564509585 target value=0.002370353747721765
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567097912805905 target value=0.009264395890077992
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567099532696993 target value=0.002370353687815907
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710068983217 target value=0.009264395983542784
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856710151640737 target value=0.0023703536573727035
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567102106854 target value=0.009264396031433364
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567102528627125 target value=0.002370353641879319
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567102829911895 target value=0.009264396055932878
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567103045128334 target value=0.002370353633978084
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710319886367 target value=0.009264396068445535
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567103308681274 target value=0.002370353629956412
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710338712717 target value=0.00926439607484042
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567103443163344 target value=0.0023703536279029436
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710348319161 target value=0.009264396078108916
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856710351178496 target value=0.0023703536268513403
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567103532210014 target value=0.009264396079778692
